yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,name,park,attendance
1886,NL,NY1,SFG,,3,124,,75,44,,,N,N,New York Giants,Polo Grounds I,
1886,AA,NY4,NYP,,7,137,,53,82,,,N,N,New York Metropolitans,St. George Cricket Grounds,
1886,AA,PH4,PHA,,6,139,,63,72,,,N,N,Philadelphia Athletics,Jefferson Street Grounds,
1886,NL,PHI,PHI,,4,119,,71,43,,,N,N,Philadelphia Quakers,Recreation Park,
1886,AA,PT1,PIT,,2,140,,80,57,,,N,N,Pittsburg Alleghenys,Recreation Park,
1886,AA,SL4,STL,,1,139,,93,46,,,Y,Y,St. Louis Browns,Sportsman's Park I,
1886,NL,SL5,SLM,,6,126,,43,79,,,N,N,St. Louis Maroons,Sportsman's Park I,
1886,NL,WS8,WNL,,8,125,,28,92,,,N,N,Washington Nationals,Swampdoodle Grounds,
1887,AA,BL2,BLO,,3,141,,77,58,,,N,N,Baltimore Orioles,Oriole Park,
1887,AA,BR3,LAD,,6,138,,60,74,,,N,N,Brooklyn Grays,Washington Park I,
1887,NL,BSN,ATL,,5,127,,61,60,,,N,N,Boston Beaneaters,South End Grounds I,
1887,NL,CHN,CHC,,3,127,,71,50,,,N,N,Chicago White Stockings,West Side Park I,
1887,AA,CL3,CLV,,8,133,,39,92,,,N,N,Cleveland Blues,National League Park II,
1887,AA,CN2,CIN,,2,136,,81,54,,,N,N,Cincinnati Red Stockings,League Park I in Cincinnati,
1887,NL,DTN,DTN,,1,127,,79,45,,,Y,Y,Detroit Wolverines,Recreation Park,
1887,NL,IN3,IND,,8,127,,37,89,,,N,N,Indianapolis Hoosiers,Athletic Park I,
1887,AA,LS2,LOU,,4,139,,76,60,,,N,N,Louisville Colonels,Eclipse Park I,
1887,NL,NY1,SFG,,4,129,,68,55,,,N,N,New York Giants,Polo Grounds I,
1887,AA,NY4,NYP,,7,138,,44,89,,,N,N,New York Metropolitans,St. George Cricket Grounds,
1887,AA,PH4,PHA,,5,137,,64,69,,,N,N,Philadelphia Athletics,Jefferson Street Grounds,
1887,NL,PHI,PHI,,2,128,,75,48,,,N,N,Philadelphia Quakers,Philadelphia Baseball Grounds,
1887,NL,PIT,PIT,,6,125,,55,69,,,N,N,Pittsburg Alleghenys,Recreation Park,
1887,AA,SL4,STL,,1,138,,95,40,,,Y,N,St. Louis Browns,Sportsman's Park I,
1887,NL,WS8,WNL,,7,126,,46,76,,,N,N,Washington Nationals,Swampdoodle Grounds,
1888,AA,BL2,BLO,,5,137,,57,80,,,N,N,Baltimore Orioles,Oriole Park,
1888,AA,BR3,LAD,,2,143,,88,52,,,N,N,Brooklyn Bridegrooms,Washington Park I,
1888,NL,BSN,ATL,,4,137,,70,64,,,N,N,Boston Beaneaters,South End Grounds II,
1888,NL,CHN,CHC,,2,136,,77,58,,,N,N,Chicago White Stockings,West Side Park I,
1888,AA,CL3,CLV,,6,135,,50,82,,,N,N,Cleveland Blues,National League Park II,
1888,AA,CN2,CIN,,4,137,,80,54,,,N,N,Cincinnati Red Stockings,League Park I in Cincinnati,
1888,NL,DTN,DTN,,5,134,,68,63,,,N,N,Detroit Wolverines,Recreation Park,
1888,NL,IN3,IND,,7,136,,50,85,,,N,N,Indianapolis Hoosiers,Athletic Park II,
1888,AA,KC2,KCC,,8,132,,43,89,,,N,N,Kansas City Cowboys,Association Park I,
1888,AA,LS2,LOU,,7,139,,48,87,,,N,N,Louisville Colonels,Eclipse Park I,
1888,NL,NY1,SFG,,1,138,,84,47,,,Y,Y,New York Giants,Polo Grounds I,
