coa_id,bu_id,source_id,segment1_id,segment2_id,user_listing_id,approved_by_id,year_flag,period_flag,ey_period,sys_man_ind,journal_type,functional_curr_cd,reporting_curr_cd,source_type,net_reporting_amount,net_reporting_amount_credit,net_reporting_amount_debit,net_functional_amount,net_functional_amount_credit,net_functional_amount_debit
1745,5,3,30,26,13,0,PY ,PRP,2013-011,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.91,242.91,0
1749,3,22,30,26,20,0,CY ,IP ,2014-006,M,Manual,EUR,EY_NA,Activity,0,0,0,-10000,10000,0
1751,8,22,32,28,27,0,PY ,PRP,2013-008,M,Manual,RON,EY_NA,Activity,0,0,0,-28.15,28.15,0
1753,8,33,32,28,27,0,CY ,IP ,2014-002,M,Manual,RON,EY_NA,Activity,0,0,0,-31361.63,31361.63,0
1753,8,33,32,28,27,0,CY ,IP ,2014-004,M,Manual,RON,EY_NA,Activity,0,0,0,-43788.77,43788.77,0
1753,8,33,32,28,27,0,PY ,PIP,2013-001,M,Manual,RON,EY_NA,Activity,0,0,0,-20886.51,20886.51,0
1753,8,33,32,28,27,0,PY ,PIP,2013-006,M,Manual,RON,EY_NA,Activity,0,0,0,-23801.53,23801.53,0
1753,8,33,32,28,27,0,PY ,PRP,2013-009,M,Manual,RON,EY_NA,Activity,0,0,0,-28594.04,28594.04,0
1753,8,34,32,28,27,0,PY ,PIP,2013-002,M,Manual,RON,EY_NA,Activity,0,0,0,23500,0,23500
1753,8,34,32,28,27,0,PY ,PIP,2013-005,M,Manual,RON,EY_NA,Activity,0,0,0,27700,2300,30000
1753,8,34,32,28,27,0,PY ,PRP,2013-010,M,Manual,RON,EY_NA,Activity,0,0,0,28000,0,28000
1753,8,34,32,28,27,0,PY ,PRP,2013-012,M,Manual,RON,EY_NA,Activity,0,0,0,22000,0,22000
1754,5,22,30,26,13,0,CY ,IP ,2014-003,M,Manual,EUR,EY_NA,Activity,0,0,0,26.68,0,26.68
1754,5,22,30,26,13,0,PY ,PIP,2013-002,M,Manual,EUR,EY_NA,Activity,0,0,0,-1043.34,1043.34,0
1754,5,22,30,26,13,0,PY ,PIP,2013-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-57.79,57.79,0
1754,5,22,30,26,13,0,PY ,PIP,2013-005,M,Manual,EUR,EY_NA,Activity,0,0,0,-1626.56,1626.56,0
1754,5,22,30,26,13,0,PY ,PRP,2013-010,M,Manual,EUR,EY_NA,Activity,0,0,0,9.65,0,9.65
1754,5,22,30,26,13,0,PY ,PRP,2013-012,M,Manual,EUR,EY_NA,Activity,0,0,0,-266.67,266.67,0
1754,5,22,30,26,20,0,CY ,IP ,2014-006,M,Manual,EUR,EY_NA,Activity,0,0,0,-50.18,50.18,0
1732,6,3,31,27,8,0,CY ,IP ,2014-001,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.62,1382.62,0
1732,6,3,31,27,8,0,CY ,IP ,2014-006,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.61,1382.61,0
1732,6,3,31,27,8,0,PY ,PRP,2013-008,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.57,1382.57,0
1732,6,3,31,27,21,0,PY ,PRP,2013-007,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.61,1382.61,0
1734,3,3,30,26,13,0,PY ,PIP,2013-001,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.85,7433.85,0
1745,5,3,30,26,13,0,CY ,IP ,2014-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.9,242.9,0
1745,5,3,30,26,13,0,CY ,IP ,2014-006,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.9,242.9,0
1745,5,3,30,26,13,0,PY ,PIP,2013-002,M,Manual,EUR,EY_NA,Activity,0,0,0,-191.45,191.45,0
1745,5,3,30,26,13,0,PY ,PIP,2013-005,M,Manual,EUR,EY_NA,Activity,0,0,0,-191.45,191.45,0
1745,5,3,30,26,13,0,PY ,PRP,2013-010,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.9,242.9,0
1745,5,3,30,26,13,0,PY ,PRP,2013-012,M,Manual,EUR,EY_NA,Activity,0,0,0,-242.9,242.9,0
1749,3,2,30,26,20,0,CY ,IP ,2014-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-10000,10000,0
1751,8,22,32,28,27,0,PY ,PIP,2013-006,M,Manual,RON,EY_NA,Activity,0,0,0,-627.3,627.3,0
1753,8,33,32,28,27,0,CY ,IP ,2014-003,M,Manual,RON,EY_NA,Activity,0,0,0,-38549.69,38549.69,0
1753,8,33,32,28,27,0,PY ,PRP,2013-008,M,Manual,RON,EY_NA,Activity,0,0,0,-22953.02,22953.02,0
1753,8,34,32,28,27,0,CY ,IP ,2014-001,M,Manual,RON,EY_NA,Activity,0,0,0,35300,0,35300
1753,8,34,32,28,27,0,PY ,PIP,2013-001,M,Manual,RON,EY_NA,Activity,0,0,0,21000,0,21000
1753,8,34,32,28,27,0,PY ,PIP,2013-003,M,Manual,RON,EY_NA,Activity,0,0,0,25000,0,25000
1753,8,34,32,28,27,0,PY ,PIP,2013-006,M,Manual,RON,EY_NA,Activity,0,0,0,28890,0,28890
1753,8,34,32,28,27,0,PY ,PRP,2013-007,M,Manual,RON,EY_NA,Activity,0,0,0,23000,0,23000
1753,8,34,32,28,27,0,PY ,PRP,2013-009,M,Manual,RON,EY_NA,Activity,0,0,0,30000,0,30000
1754,5,22,30,26,13,0,CY ,IP ,2014-002,M,Manual,EUR,EY_NA,Activity,0,0,0,-374.89,374.89,0
1754,5,22,30,26,13,0,CY ,IP ,2014-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-416.33,416.33,0
1754,5,22,30,26,13,0,CY ,IP ,2014-005,M,Manual,EUR,EY_NA,Activity,0,0,0,-481.03,481.03,0
1754,5,22,30,26,13,0,PY ,PIP,2013-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-124.18,124.18,0
1754,5,22,30,26,13,0,PY ,PIP,2013-006,M,Manual,EUR,EY_NA,Activity,0,0,0,966.73,0,966.73
1754,5,22,30,26,13,0,PY ,PRP,2013-007,M,Manual,EUR,EY_NA,Activity,0,0,0,796.4,0,796.4
1754,5,22,30,26,13,0,PY ,PRP,2013-009,M,Manual,EUR,EY_NA,Activity,0,0,0,-292.37,292.37,0
1754,5,22,30,26,13,0,PY ,PRP,2013-011,M,Manual,EUR,EY_NA,Activity,0,0,0,-324.22,324.22,0
1754,5,33,30,26,20,0,CY ,IP ,2014-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-19.91,19.91,0
1754,5,33,30,26,20,0,CY ,IP ,2014-006,M,Manual,EUR,EY_NA,Activity,0,0,0,-5.48,7.79,2.31
1754,5,33,30,26,20,0,PY ,PIP,2013-002,M,Manual,EUR,EY_NA,Activity,0,0,0,13788.57,11.43,13800
1754,5,33,30,26,20,0,PY ,PIP,2013-005,M,Manual,EUR,EY_NA,Activity,0,0,0,33196.5,3.5,33200
1754,5,33,30,26,20,0,PY ,PRP,2013-010,M,Manual,EUR,EY_NA,Activity,0,0,0,36991.15,8.85,37000
1754,5,34,30,26,20,0,CY ,IP ,2014-002,M,Manual,EUR,EY_NA,Activity,0,0,0,11500,0,11500
1754,5,34,30,26,20,0,CY ,IP ,2014-005,M,Manual,EUR,EY_NA,Activity,0,0,0,166600,0,166600
1754,5,34,30,26,20,0,PY ,PIP,2013-001,M,Manual,EUR,EY_NA,Activity,0,0,0,310000,0,310000
1754,5,34,30,26,20,0,PY ,PIP,2013-006,M,Manual,EUR,EY_NA,Activity,0,0,0,33000,0,33000
1754,5,34,30,26,20,0,PY ,PRP,2013-009,M,Manual,EUR,EY_NA,Activity,0,0,0,125500,0,125500
1754,5,34,30,26,22,0,PY ,PRP,2013-008,M,Manual,EUR,EY_NA,Activity,0,0,0,85500,0,85500
1754,5,36,30,26,20,0,PY ,PRP,2013-008,M,Manual,EUR,EY_NA,Activity,0,0,0,-50918.45,50918.45,0
1756,8,2,32,28,13,0,PY ,PRP,2013-009,M,Manual,RON,EY_NA,Activity,0,0,0,93391.83,0,93391.83
1756,8,22,32,28,27,0,CY ,IP ,2014-003,M,Manual,RON,EY_NA,Activity,0,0,0,19930.64,0,19930.64
1756,8,36,32,28,20,0,CY ,IP ,2014-003,M,Manual,RON,EY_NA,Activity,0,0,0,-34313.07,34313.07,0
1760,4,2,30,26,13,0,PY ,PRP,2013-009,M,Manual,EUR,EY_NA,Activity,0,0,0,-20865.02,20865.02,0
1760,4,2,30,26,13,0,PY ,PRP,2013-010,M,Manual,EUR,EY_NA,Activity,0,0,0,-30337.56,30337.56,0
1761,5,11,30,26,20,0,PY ,PIP,2013-003,M,Manual,EUR,EY_NA,Activity,0,0,0,1830.96,0,1830.96
1761,5,11,30,26,22,0,PY ,PIP,2013-002,M,Manual,EUR,EY_NA,Activity,0,0,0,59.2,0,59.2
1761,5,14,30,26,13,0,CY ,IP ,2014-001,M,Manual,EUR,EY_NA,Activity,0,0,0,-363.75,363.75,0
1761,5,14,30,26,13,0,PY ,PRP,2013-008,M,Manual,EUR,EY_NA,Activity,0,0,0,-3506.63,3506.63,0
1761,5,14,30,26,20,0,PY ,PRP,2013-007,M,Manual,EUR,EY_NA,Activity,0,0,0,-259.11,259.11,0
1761,5,14,30,26,20,0,PY ,PRP,2013-008,M,Manual,EUR,EY_NA,Activity,0,0,0,-3506.63,3506.63,0
1761,5,14,30,26,20,0,PY ,PRP,2013-012,M,Manual,EUR,EY_NA,Activity,0,0,0,-9204.26,9204.26,0
1761,5,14,30,26,22,0,CY ,IP ,2014-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-1141.87,1141.87,0
1761,5,14,30,26,22,0,PY ,PIP,2013-002,M,Manual,EUR,EY_NA,Activity,0,0,0,-32898.85,32898.85,0
1761,5,14,30,26,22,0,PY ,PIP,2013-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-18075.68,18075.68,0
1761,5,14,30,26,22,0,PY ,PIP,2013-005,M,Manual,EUR,EY_NA,Activity,0,0,0,-17649.1,17649.1,0
1761,5,14,30,26,22,0,PY ,PRP,2013-011,M,Manual,EUR,EY_NA,Activity,0,0,0,-7564.17,7564.17,0
1761,5,19,30,26,22,0,PY ,PIP,2013-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-43364.87,43364.87,0
1761,5,19,30,26,22,0,PY ,PIP,2013-006,M,Manual,EUR,EY_NA,Activity,0,0,0,-42459.04,42459.04,0
1761,5,19,30,26,22,0,PY ,PRP,2013-007,M,Manual,EUR,EY_NA,Activity,0,0,0,-98028.79,98028.79,0
1761,5,19,30,26,22,0,PY ,PRP,2013-012,M,Manual,EUR,EY_NA,Activity,0,0,0,-441.74,441.74,0
1761,5,36,30,26,20,0,CY ,IP ,2014-006,M,Manual,EUR,EY_NA,Activity,0,0,0,5375.07,0,5375.07
1761,5,36,30,26,20,0,PY ,PRP,2013-008,M,Manual,EUR,EY_NA,Activity,0,0,0,34498.62,0,34498.62
1762,6,19,31,27,21,0,CY ,IP ,2014-004,M,Manual,MYR,EY_NA,Activity,0,0,0,-3200,3200,0
1762,6,19,31,27,21,0,PY ,PRP,2013-008,M,Manual,MYR,EY_NA,Activity,0,0,0,-11160,11160,0
1762,6,36,31,27,8,0,PY ,PIP,2013-003,M,Manual,MYR,EY_NA,Activity,0,0,0,38128.5,0,38128.5
1762,6,36,31,27,8,0,PY ,PRP,2013-009,M,Manual,MYR,EY_NA,Activity,0,0,0,11160,0,11160
1754,5,34,30,26,20,0,CY ,IP ,2014-004,M,Manual,EUR,EY_NA,Activity,0,0,0,56600,0,56600
1754,5,34,30,26,20,0,PY ,PIP,2013-003,M,Manual,EUR,EY_NA,Activity,0,0,0,80000,0,80000
1754,5,34,30,26,20,0,PY ,PRP,2013-007,M,Manual,EUR,EY_NA,Activity,0,0,0,-21800,44000,22200
1754,5,34,30,26,22,0,PY ,PIP,2013-005,M,Manual,EUR,EY_NA,Activity,0,0,0,15000,0,15000
1754,5,36,30,26,20,0,CY ,IP ,2014-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-47617.2,47617.2,0
1754,5,36,30,26,20,0,CY ,IP ,2014-006,M,Manual,EUR,EY_NA,Activity,0,0,0,-22948.64,22948.64,0
1754,5,36,30,26,20,0,PY ,PIP,2013-002,M,Manual,EUR,EY_NA,Activity,0,0,0,-143069.8,143069.8,0
1754,5,36,30,26,20,0,PY ,PIP,2013-005,M,Manual,EUR,EY_NA,Activity,0,0,0,-32196.09,32196.09,0
1754,5,36,30,26,20,0,PY ,PRP,2013-010,M,Manual,EUR,EY_NA,Activity,0,0,0,-44355.79,44355.79,0
1754,5,36,30,26,20,0,PY ,PRP,2013-012,M,Manual,EUR,EY_NA,Activity,0,0,0,-108167.32,108167.32,0
1754,5,36,30,26,22,0,SP ,SP ,2014-007,M,Manual,EUR,EY_NA,Activity,0,0,0,-17485.78,17485.78,0
1756,8,2,32,28,20,0,CY ,IP ,2014-004,M,Manual,RON,EY_NA,Activity,0,0,0,178012,0,178012
1756,8,22,32,28,13,0,PY ,PRP,2013-009,M,Manual,RON,EY_NA,Activity,0,0,0,22286.6,0,22286.6
1756,8,22,32,28,27,0,CY ,IP ,2014-005,M,Manual,RON,EY_NA,Activity,0,0,0,22940.42,0,22940.42
1756,8,22,32,28,27,0,PY ,PRP,2013-012,M,Manual,RON,EY_NA,Activity,0,0,0,-19931.27,19931.27,0
1756,8,33,32,28,27,0,CY ,IP ,2014-003,M,Manual,RON,EY_NA,Activity,0,0,0,-133542,133542,0
1756,8,36,32,28,27,0,PY ,PRP,2013-007,M,Manual,RON,EY_NA,Activity,0,0,0,44232,0,44232
1756,8,36,32,28,27,0,PY ,PRP,2013-008,M,Manual,RON,EY_NA,Activity,0,0,0,221750,0,221750
1760,4,2,30,26,20,0,CY ,IP ,2014-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-30000,30000,0
1760,4,22,30,26,13,0,PY ,PRP,2013-009,M,Manual,EUR,EY_NA,Activity,0,0,0,-5000,5000,0
1760,4,33,30,26,20,0,CY ,IP ,2014-003,M,Manual,EUR,EY_NA,Activity,0,0,0,37627.5,0,37627.5
1761,5,2,30,26,20,0,PY ,PRP,2013-012,M,Manual,EUR,EY_NA,Activity,0,0,0,18354.12,0,18354.12
1761,5,10,30,26,20,0,PY ,PRP,2013-008,M,Manual,EUR,EY_NA,Activity,0,0,0,3506.63,0,3506.63
