period_id,bu_id,fiscal_period_cd,fiscal_period_desc,fiscal_period_start,fiscal_period_end,fiscal_quarter_cd,fiscal_quarter_desc,fiscal_quarter_start,fiscal_quarter_end,fiscal_year_cd,fiscal_year_desc,fiscal_year_start,fiscal_year_end,adjustment_period,engagement_id,fiscal_period_seq,ver_start_date_id,ver_end_date_id,ver_desc
5935,40,2007-005,2007-005,20070501,20070531,2007-Q2,2007-Q2,20070401,20070630,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,5,20141115,NULL,20141115
5936,40,2007-006,2007-006,20070601,20070630,2007-Q2,2007-Q2,20070401,20070630,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,6,20141115,NULL,20141115
5937,40,2007-007,2007-007,20070701,20070731,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,7,20141115,NULL,20141115
5938,40,2007-008,2007-008,20070801,20070831,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,8,20141115,NULL,20141115
5939,40,2007-009,2007-009,20070901,20070930,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,9,20141115,NULL,20141115
5940,40,2007-010,2007-010,20071001,20071031,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,10,20141115,NULL,20141115
5941,40,2007-011,2007-011,20071101,20071130,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,11,20141115,NULL,20141115
5942,40,2007-012,2007-012,20071201,20071231,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,12,20141115,NULL,20141115
5943,40,2007-013,2007-013,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,13,20141115,NULL,20141115
5944,40,2007-014,2007-014,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,14,20141115,NULL,20141115
