transaction_type_id,transaction_type_cd,bu_id,engagement_id,transaction_type_desc,transaction_type_group_desc,EY_transaction_type,entry_by_id,entry_date_id,entry_time_id,last_modified_by_id,last_modified_date_id,ver_start_date_id,ver_end_date_id,ver_desc,transaction_type_ref
35,39,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Vendor Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,39 - 
36,40,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,40 - 
37,50,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,50 - 
38,70,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Asset Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,70 - 
39,75,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Asset Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,75 - 
40,80,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,80 - 
41,81,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,81 - 
42,83,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,83 - 
43,84,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,84 - 
44,85,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,85 - 
45,86,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,86 - 
46,89,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Stock Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,89 - 
47,90,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,90 - 
48,91,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,91 - 
49,93,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,93 - 
50,94,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,94 - 
51,95,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,95 - 
52,96,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,GL Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,96 - 
53,99,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Stock Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,99 - 
